Value,Prompt,Found,Count,Found_in_Column
+1217-756-3699,list_example,True,12,Telephone
+1936-561-7185,system_ignore,True,10,Telephone
1959-03-28,system_ignore,True,10,DOB
2005-07-29,list_example,True,12,DOB
2019-10-18,list_example,True,11,"Date of Visit, Date of Discharge"
2019-11-11,list_example,True,11,"Date of Visit, Date of Discharge"
2022-11-06,system_ignore,True,7,"Date of Visit, Date of Discharge"
2022-12-01,system_ignore,True,10,"Date of Visit, Date of Discharge"
3385878867,list_example,True,12,MRN
356-99-8207,list_example,True,12,SSN
534-53-2972,system_ignore,True,10,SSN
5667461747,system_ignore,True,10,MRN
Chinese,list_example,True,101,"Multiple Rows: Language spoken, Multiple Rows: Language written"
Christopher Stewart,list_example,True,12,Name
Christopher.Stewart@gmx.com,list_example,True,12,Email
Elective,system_ignore,True,2879,Multiple Rows: Admission Type
English,list_example,True,8666,"Multiple Rows: Language spoken, Multiple Rows: Language written"
English,system_ignore,True,8666,"Multiple Rows: Language spoken, Multiple Rows: Language written"
Female,system_ignore,True,4443,Multiple Rows: Legal gender
HPB-28906,system_ignore,True,10,Health Plan Number
HPB-96266,list_example,True,12,Health Plan Number
Male,list_example,True,4292,Multiple Rows: Legal gender
Married,list_example,True,2640,Multiple Rows: Marital status
Married,system_ignore,True,2640,Multiple Rows: Marital status
Rebecca Jones,system_ignore,True,12,"Name, RN"
Rebecca.Jones@yahoo.com,system_ignore,True,10,Email
#798769,list_example,True,1,Billing Account Number
John Stewart,list_example,True,1,Doctors Name
#837959,system_ignore,True,1,Billing Account Number
Mark Vargas,system_ignore,True,1,Doctors Name
