Value,Prompt,Found,Count,Found_in_Column,Name_in_Analysis,Person,Specific
1979-09-22,jb_special_tokens,True,2,DOB,"Wesley Bruce, Debra Maddox",Adrienne Wiley,False
2023-10-24,jb_special_tokens,True,10,"Date of Visit, Date of Discharge","Jaclyn Anderson, Tammy Day, Timothy Reed, Michael Lane, Kelsey Phelps, Laura Hernandez, David Grant, Karen Lynn, Amber Curtis, Teresa Brown",Adrienne Wiley,False
2023-11-03,jb_special_tokens,True,16,"Date of Visit, Date of Discharge","Joseph Thomas, Benjamin Davis, Rebekah Jarvis, Stephanie Gibbs, Michael Randall, John Esparza, Aaron Salas, Donald Castillo, Brian Jordan, Robert Johnson, Gabriela Walsh, Thomas Ramos, Timothy Reed, Michelle Parks, Stephen Wolf, Robert Cook",Adrienne Wiley,False
2023-11-12,continues,True,14,"Date of Visit, Date of Discharge","Susan Dorsey, James Williams, Laura Bell, Brett Serrano, Christopher Rodriguez, Michael Ayala, Crystal Young, Catherine Smith, Maria Yates, Michelle Jackson, Cynthia Torres, Holly Bass, Shawn Doyle, Ethan Walker",Adrienne Wiley,False
2023-12-12,continues,True,12,"Date of Visit, Date of Discharge","Katrina Sandoval, Nicholas Klein, Steve Warren, Melissa Hogan, April Cruz, Jason Hess, Emily Cruz, Kendra Jacobs, Susan Dorsey, James Williams, Michele Kennedy, Jeffrey Brown",Adrienne Wiley,False
2023-12-19,continues,True,8,"Date of Visit, Date of Discharge","Kelly Moore, Willie Miller, Brian Wilson, Joseph Martinez, Kenneth Hill, Tyler Bates, Melissa Powell, Chad Bennett",Adrienne Wiley,False
Emergency,jb_special_tokens,True,3190,Multiple Rows: Admission Type,Adrienne Wiley,Adrienne Wiley,True
English,continues,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Adrienne Wiley,Adrienne Wiley,True
English,jb_special_tokens,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Adrienne Wiley,Adrienne Wiley,True
Female,continues,True,4931,Multiple Rows: Legal gender,Adrienne Wiley,Adrienne Wiley,True
Female,jb_special_tokens,True,4931,Multiple Rows: Legal gender,Adrienne Wiley,Adrienne Wiley,True
HPB-76224,continues,True,2,Health Plan Number,"Sharon Smith, Timothy Brown",Adrienne Wiley,False
Single,continues,True,4834,Multiple Rows: Marital status,None,Adrienne Wiley,False
284-49-4620,jb_special_tokens,True,1,SSN,Anna Carlson,Adrienne Wiley,False
#431946,jb_special_tokens,True,1,Billing Account Number,Joshua Huerta,Adrienne Wiley,False
HPB-13443,jb_special_tokens,True,1,Health Plan Number,David Adams,Adrienne Wiley,False
Brian Patrick,jb_special_tokens,True,1,Name,Brian Patrick,Adrienne Wiley,False
Brian Ray,jb_special_tokens,True,1,Name,Brian Ray,Adrienne Wiley,False
4913973714,continues,True,1,MRN,Robert Bowman,Adrienne Wiley,False
128-36-8650,continues,True,1,SSN,Gloria Myers,Adrienne Wiley,False
#990601,continues,True,1,Billing Account Number,Ana Jenkins,Adrienne Wiley,False
Adrienne.Wiley@gmx.com,continues,True,1,Email,Adrienne Wiley,Adrienne Wiley,True
Jesse Gray,continues,True,1,Doctors Name,Dorothy Hernandez,Adrienne Wiley,False
Alan Reid,continues,True,1,Doctors Name,Heather Hernandez,Adrienne Wiley,False
Elective,continues,True,3212,Multiple Rows: Admission Type,None,Amy Rhodes,False
Urgent,jb_special_tokens,True,3198,Multiple Rows: Admission Type,None,Amy Rhodes,False
2022-12-30,continues,True,16,"Date of Visit, Date of Discharge","Mike Atkins, Jamie Vaughan, Holly Lane, Sarah Fuentes, Shelly Harris, Zachary Stevens, Timothy George, Melissa Bennett, Brian Freeman, Amber Duke, Jose Mann, Deborah Jacobs, Sandy Wade, Holly Park, Pamela Gordon, Jonathan Underwood",Angela Wilson,False
