Value,Prompt,Found,Count,Found_in_Column
1944-01-24,system_ignore,True,5,DOB
2024-02-18,system_ignore,True,9,"Date of Visit, Date of Discharge"
English,system_ignore,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written"
Female,system_ignore,True,4931,Multiple Rows: Legal gender
German,system_ignore,True,368,"Multiple Rows: Language spoken, Multiple Rows: Language written"
HPB-98527,system_ignore,True,2,Health Plan Number
Single,system_ignore,True,4834,Multiple Rows: Marital status
Spanish,system_ignore,True,568,"Multiple Rows: Language spoken, Multiple Rows: Language written"
6890956708,system_ignore,True,1,MRN
111-31-7850,system_ignore,True,1,SSN
#302450,system_ignore,True,1,Billing Account Number
Mary.Blake@aol.com,system_ignore,True,1,Email
Mary Blake,system_ignore,True,1,Name
