Value,Prompt,Found,Count,Found_in_Column
2022-08-15,system_ignore,True,12,"Date of Visit, Date of Discharge"
2022-08-15,system_overwritten,True,12,"Date of Visit, Date of Discharge"
Married,list_example,True,2857,Multiple Rows: Marital status
Michael Brown,Scenario Nesting Hospital,True,10,"Name, Doctors Name, RN"
Michael Smith,list_example,True,18,"Name, Doctors Name, RN"
Michael Smith,system_ignore,True,18,"Name, Doctors Name, RN"
999-60-1056,list_example,False,0,
#345896,list_example,False,0,
899 Lake Jennifer,list_example,False,0,
NV 25438,list_example,False,0,
msmith@gmail.com,list_example,False,0,
1980-01-15,list_example,False,0,
7569 APO AE 07893,list_least_common,False,0,
Jonathan Smith,list_least_common,True,3,Name
Jonathan Smith,list_least_common,True,3,Doctors Name
Jonathan Smith,list_least_common,True,3,RN
Jennifer Brown,system_ignore,True,1,RN
"Michael Smith
Jennifer Brown",system_overwritten,False,0,
Jennifer Brown,system_overwritten,True,1,RN
