Value,Prompt,Found,Count,Found_in_Column
+1725-573-6455,list_example,True,13,Telephone
+1856-619-8436,system_ignore,True,12,Telephone
100-47-1838,system_ignore,True,12,SSN
1946-03-05,list_example,True,13,DOB
1976-01-23,system_ignore,True,12,DOB
2021-02-19,system_ignore,True,12,"Date of Visit, Date of Discharge"
2021-03-17,system_ignore,True,10,"Date of Visit, Date of Discharge"
2023-09-22,list_example,True,15,"Date of Visit, Date of Discharge"
2023-10-18,list_example,True,8,"Date of Visit, Date of Discharge"
2835100418,system_ignore,True,12,MRN
424-79-2916,list_example,True,13,SSN
4251320996,list_example,True,13,MRN
Aaron Rodriguez,system_ignore,True,13,Name
Aaron.Rodriguez@brown.com,system_ignore,True,12,Email
Christopher Watson,list_example,True,14,Name
Christopher.Watson@dhl.com,list_example,True,13,Email
English,list_example,True,8666,"Multiple Rows: Language spoken, Multiple Rows: Language written"
English,system_ignore,True,8666,"Multiple Rows: Language spoken, Multiple Rows: Language written"
HPB-21380,system_ignore,True,12,Health Plan Number
HPB-89963,list_example,True,13,Health Plan Number
Male,list_example,True,4292,Multiple Rows: Legal gender
Male,system_ignore,True,4292,Multiple Rows: Legal gender
Married,list_example,True,2640,Multiple Rows: Marital status
Single,system_ignore,True,4296,Multiple Rows: Marital status
#743272,list_example,True,1,Billing Account Number
Christopher Watson,list_example,True,14,Doctors Name
#203697,system_ignore,True,1,Billing Account Number
Aaron Rodriguez,system_ignore,True,13,Doctors Name
